Unnamed: 0.1,Unnamed: 0,ZS,activity,date,img,height,plant
0.0,0.0,Lily,Fertilizing,9/18/2026,"UploadedFile(file_id='212cc38c-1923-4d7f-98af-9509a61c38a1', name='camera-input-2026-09-18T13_52_25.826Z.jpg', type='image/jpeg', size=4077, _file_urls=file_id: ""212cc38c-1923-4d7f-98af-9509a61c38a1""
upload_url: ""/_stcore/upload_file/0810eb6c-14cc-4203-bb34-26a1df1a4f44/212cc38c-1923-4d7f-98af-9509a61c38a1""
delete_url: ""/_stcore/upload_file/0810eb6c-14cc-4203-bb34-26a1df1a4f44/212cc38c-1923-4d7f-98af-9509a61c38a1""
)",0.02,Lily
1.0,1.0,Lily,Fertilizing,9/18/2026,"UploadedFile(file_id='2a1bab06-e0d2-4ebd-a9ab-e2717c5526b2', name='camera-input-2026-09-18T13_54_33.577Z.jpg', type='image/jpeg', size=4077, _file_urls=file_id: ""2a1bab06-e0d2-4ebd-a9ab-e2717c5526b2""
upload_url: ""/_stcore/upload_file/30e3ed00-c79e-4a8f-a7b6-bf67657b5fc5/2a1bab06-e0d2-4ebd-a9ab-e2717c5526b2""
delete_url: ""/_stcore/upload_file/30e3ed00-c79e-4a8f-a7b6-bf67657b5fc5/2a1bab06-e0d2-4ebd-a9ab-e2717c5526b2""
)",0.06,Lily
2.0,2.0,Mint,Watering,9/2/2026,"UploadedFile(file_id='e2573e2d-ce6c-487d-9b5d-7a38e64daab0', name='camera-input-2026-09-18T16_42_58.897Z.jpg', type='image/jpeg', size=7055, _file_urls=file_id: ""e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
upload_url: ""/_stcore/upload_file/e36f3db5-dabe-4994-b29a-e92507e6d48f/e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
delete_url: ""/_stcore/upload_file/e36f3db5-dabe-4994-b29a-e92507e6d48f/e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
)",5.0,Mint
3.0,3.0,Mint,Watering,9/3/2026,"UploadedFile(file_id='e2573e2d-ce6c-487d-9b5d-7a38e64daab0', name='camera-input-2026-09-18T16_42_58.897Z.jpg', type='image/jpeg', size=7055, _file_urls=file_id: ""e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
upload_url: ""/_stcore/upload_file/e36f3db5-dabe-4994-b29a-e92507e6d48f/e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
delete_url: ""/_stcore/upload_file/e36f3db5-dabe-4994-b29a-e92507e6d48f/e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
)",5.0,Mint
4.0,4.0,Mint,Watering,9/4/2026,"UploadedFile(file_id='e2573e2d-ce6c-487d-9b5d-7a38e64daab0', name='camera-input-2026-09-18T16_42_58.897Z.jpg', type='image/jpeg', size=7055, _file_urls=file_id: ""e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
upload_url: ""/_stcore/upload_file/e36f3db5-dabe-4994-b29a-e92507e6d48f/e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
delete_url: ""/_stcore/upload_file/e36f3db5-dabe-4994-b29a-e92507e6d48f/e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
)",5.5,Mint
5.0,5.0,Mint,Watering,9/5/2026,"UploadedFile(file_id='e2573e2d-ce6c-487d-9b5d-7a38e64daab0', name='camera-input-2026-09-18T16_42_58.897Z.jpg', type='image/jpeg', size=7055, _file_urls=file_id: ""e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
upload_url: ""/_stcore/upload_file/e36f3db5-dabe-4994-b29a-e92507e6d48f/e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
delete_url: ""/_stcore/upload_file/e36f3db5-dabe-4994-b29a-e92507e6d48f/e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
)",5.5,Mint
6.0,6.0,Mint,Watering,9/6/2026,"UploadedFile(file_id='e2573e2d-ce6c-487d-9b5d-7a38e64daab0', name='camera-input-2026-09-18T16_42_58.897Z.jpg', type='image/jpeg', size=7055, _file_urls=file_id: ""e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
upload_url: ""/_stcore/upload_file/e36f3db5-dabe-4994-b29a-e92507e6d48f/e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
delete_url: ""/_stcore/upload_file/e36f3db5-dabe-4994-b29a-e92507e6d48f/e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
)",6.0,Mint
7.0,7.0,Mint,Watering,9/7/2026,"UploadedFile(file_id='e2573e2d-ce6c-487d-9b5d-7a38e64daab0', name='camera-input-2026-09-18T16_42_58.897Z.jpg', type='image/jpeg', size=7055, _file_urls=file_id: ""e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
upload_url: ""/_stcore/upload_file/e36f3db5-dabe-4994-b29a-e92507e6d48f/e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
delete_url: ""/_stcore/upload_file/e36f3db5-dabe-4994-b29a-e92507e6d48f/e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
)",6.3,Mint
8.0,8.0,Mint,Watering,9/8/2026,"UploadedFile(file_id='e2573e2d-ce6c-487d-9b5d-7a38e64daab0', name='camera-input-2026-09-18T16_42_58.897Z.jpg', type='image/jpeg', size=7055, _file_urls=file_id: ""e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
upload_url: ""/_stcore/upload_file/e36f3db5-dabe-4994-b29a-e92507e6d48f/e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
delete_url: ""/_stcore/upload_file/e36f3db5-dabe-4994-b29a-e92507e6d48f/e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
)",6.5,Mint
9.0,9.0,Mint,Watering,9/9/2026,"UploadedFile(file_id='e2573e2d-ce6c-487d-9b5d-7a38e64daab0', name='camera-input-2026-09-18T16_42_58.897Z.jpg', type='image/jpeg', size=7055, _file_urls=file_id: ""e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
upload_url: ""/_stcore/upload_file/e36f3db5-dabe-4994-b29a-e92507e6d48f/e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
delete_url: ""/_stcore/upload_file/e36f3db5-dabe-4994-b29a-e92507e6d48f/e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
)",6.7,Mint
10.0,10.0,Mint,Watering,9/10/2026,"UploadedFile(file_id='e2573e2d-ce6c-487d-9b5d-7a38e64daab0', name='camera-input-2026-09-18T16_42_58.897Z.jpg', type='image/jpeg', size=7055, _file_urls=file_id: ""e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
upload_url: ""/_stcore/upload_file/e36f3db5-dabe-4994-b29a-e92507e6d48f/e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
delete_url: ""/_stcore/upload_file/e36f3db5-dabe-4994-b29a-e92507e6d48f/e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
)",6.8,Mint
11.0,11.0,Mint,Watering,9/11/2026,"UploadedFile(file_id='e2573e2d-ce6c-487d-9b5d-7a38e64daab0', name='camera-input-2026-09-18T16_42_58.897Z.jpg', type='image/jpeg', size=7055, _file_urls=file_id: ""e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
upload_url: ""/_stcore/upload_file/e36f3db5-dabe-4994-b29a-e92507e6d48f/e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
delete_url: ""/_stcore/upload_file/e36f3db5-dabe-4994-b29a-e92507e6d48f/e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
)",7.0,Mint
12.0,12.0,Mint,Watering,9/12/2026,"UploadedFile(file_id='e2573e2d-ce6c-487d-9b5d-7a38e64daab0', name='camera-input-2026-09-18T16_42_58.897Z.jpg', type='image/jpeg', size=7055, _file_urls=file_id: ""e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
upload_url: ""/_stcore/upload_file/e36f3db5-dabe-4994-b29a-e92507e6d48f/e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
delete_url: ""/_stcore/upload_file/e36f3db5-dabe-4994-b29a-e92507e6d48f/e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
)",7.0,Mint
13.0,13.0,Mint,Watering,9/13/2026,"UploadedFile(file_id='e2573e2d-ce6c-487d-9b5d-7a38e64daab0', name='camera-input-2026-09-18T16_42_58.897Z.jpg', type='image/jpeg', size=7055, _file_urls=file_id: ""e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
upload_url: ""/_stcore/upload_file/e36f3db5-dabe-4994-b29a-e92507e6d48f/e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
delete_url: ""/_stcore/upload_file/e36f3db5-dabe-4994-b29a-e92507e6d48f/e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
)",7.3,Mint
14.0,14.0,Mint,Repotting,9/13/2026,"UploadedFile(file_id='e2573e2d-ce6c-487d-9b5d-7a38e64daab0', name='camera-input-2026-09-18T16_42_58.897Z.jpg', type='image/jpeg', size=7055, _file_urls=file_id: ""e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
upload_url: ""/_stcore/upload_file/e36f3db5-dabe-4994-b29a-e92507e6d48f/e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
delete_url: ""/_stcore/upload_file/e36f3db5-dabe-4994-b29a-e92507e6d48f/e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
)",7.3,Mint
15.0,15.0,Mint,Watering,9/14/2026,"UploadedFile(file_id='e2573e2d-ce6c-487d-9b5d-7a38e64daab0', name='camera-input-2026-09-18T16_42_58.897Z.jpg', type='image/jpeg', size=7055, _file_urls=file_id: ""e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
upload_url: ""/_stcore/upload_file/e36f3db5-dabe-4994-b29a-e92507e6d48f/e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
delete_url: ""/_stcore/upload_file/e36f3db5-dabe-4994-b29a-e92507e6d48f/e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
)",7.5,Mint
16.0,16.0,Mint,Watering,9/15/2026,"UploadedFile(file_id='e2573e2d-ce6c-487d-9b5d-7a38e64daab0', name='camera-input-2026-09-18T16_42_58.897Z.jpg', type='image/jpeg', size=7055, _file_urls=file_id: ""e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
upload_url: ""/_stcore/upload_file/e36f3db5-dabe-4994-b29a-e92507e6d48f/e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
delete_url: ""/_stcore/upload_file/e36f3db5-dabe-4994-b29a-e92507e6d48f/e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
)",7.8,Mint
17.0,17.0,Mint,Watering,9/16/2026,"UploadedFile(file_id='e2573e2d-ce6c-487d-9b5d-7a38e64daab0', name='camera-input-2026-09-18T16_42_58.897Z.jpg', type='image/jpeg', size=7055, _file_urls=file_id: ""e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
upload_url: ""/_stcore/upload_file/e36f3db5-dabe-4994-b29a-e92507e6d48f/e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
delete_url: ""/_stcore/upload_file/e36f3db5-dabe-4994-b29a-e92507e6d48f/e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
)",8.0,Mint
18.0,18.0,Mint,Watering,9/17/2026,"UploadedFile(file_id='e2573e2d-ce6c-487d-9b5d-7a38e64daab0', name='camera-input-2026-09-18T16_42_58.897Z.jpg', type='image/jpeg', size=7055, _file_urls=file_id: ""e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
upload_url: ""/_stcore/upload_file/e36f3db5-dabe-4994-b29a-e92507e6d48f/e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
delete_url: ""/_stcore/upload_file/e36f3db5-dabe-4994-b29a-e92507e6d48f/e2573e2d-ce6c-487d-9b5d-7a38e64daab0""
)",8.4,Mint
